City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,81,8.01,broken clouds
97,Severo-Kurilsk,RU,50.6789,156.125,26.51,74,87,9.19,overcast clouds
98,Constitucion,CL,-35.3333,-72.4167,61.75,60,0,17.31,clear sky
99,Saskylakh,RU,71.9167,114.0833,-25.22,100,98,4.59,overcast clouds
100,Sola,VU,-13.8833,167.55,83.07,84,75,3.44,broken clouds
101,Souillac,MU,-20.5167,57.5167,73.78,88,20,5.75,few clouds
102,Aitape,PG,-3.1374,142.3475,78.91,83,100,4.79,overcast clouds
103,Broken Hill,AU,-31.95,141.4333,68.63,47,0,13.62,clear sky
104,Rincon,US,32.296,-81.2354,56.86,51,42,4.29,scattered clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,100,10.36,light snow
106,Ghanzi,BW,-21.5667,21.7833,77.16,24,0,7.81,clear sky
107,Lata,PT,40.1629,-8.3327,45.07,77,0,4.05,clear sky
108,Chokurdakh,RU,70.6333,147.9167,-0.6,97,100,8.05,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,82.45,74,100,3.56,overcast clouds
110,Qaanaaq,GL,77.484,-69.3632,-25.44,77,4,7.36,clear sky
111,Conde,BR,-7.2597,-34.9075,80.06,74,75,10.36,broken clouds
112,Avera,US,33.194,-82.5271,56.55,44,94,5.88,overcast clouds
113,Ilorin,NG,8.5,4.55,81.1,59,93,5.84,overcast clouds
114,San Carlos De Bariloche,AR,-41.1456,-71.3082,69.55,14,20,23.02,few clouds
115,Seagoville,US,32.6396,-96.5383,54.55,41,100,9.22,overcast clouds
116,Kruisfontein,ZA,-34.0033,24.7314,63.88,86,4,4.38,clear sky
117,Umm Kaddadah,SD,13.6017,26.6876,74.03,22,80,13.78,broken clouds
118,Lebu,CL,-37.6167,-73.65,56.64,70,0,18.25,clear sky
119,Hermanus,ZA,-34.4187,19.2345,61.81,89,34,8.3,light rain
120,San Patricio,US,28.017,-97.5169,62.46,77,99,11.07,overcast clouds
121,Zermatt,CH,46.0213,7.7491,25.63,67,29,4.36,scattered clouds
122,Valea Ciorii,RO,44.7167,27.5667,34.34,77,100,14.94,overcast clouds
123,Kirakira,SB,-10.4544,161.9205,82.13,78,99,5.03,light rain
124,Pangani,TZ,-5.4333,38.9667,75.61,88,72,5.73,broken clouds
125,Esperance,AU,-33.8667,121.9,63.57,82,100,12.82,overcast clouds
126,Bengkulu,ID,-3.8004,102.2655,74.66,90,100,3.24,overcast clouds
127,Kharitonovo,RU,61.4009,47.4978,17.33,97,100,2.33,overcast clouds
128,Airai,TL,-8.9266,125.4092,59.54,74,28,1.92,scattered clouds
129,Tuatapere,NZ,-46.1333,167.6833,50.04,73,89,11.68,overcast clouds
130,Linda,US,39.1277,-121.5508,50.04,91,100,13.8,overcast clouds
131,Yar-Sale,RU,66.8333,70.8333,-4.65,91,70,10.89,broken clouds
132,Mehamn,NO,71.0357,27.8492,33.75,100,100,5.75,light intensity drizzle
133,North Mankato,US,44.1733,-94.0339,35.26,89,90,15.73,overcast clouds
134,Pavlodar,KZ,52.3,76.95,1.2,66,75,11.18,broken clouds
135,Tam Ky,VN,15.5667,108.4833,74.75,93,100,7.74,moderate rain
136,Katsuura,JP,35.1333,140.3,51.62,75,100,11.27,overcast clouds
137,Balkanabat,TM,39.5108,54.3671,44.38,41,100,2.57,overcast clouds
138,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,87,75,21.85,broken clouds
139,Petatlan,MX,17.5167,-101.2667,86.54,55,22,4.79,few clouds
140,Ribeira Grande,PT,38.5167,-28.7,58.77,62,40,13.0,scattered clouds
141,Mapastepec,MX,15.4333,-92.9,84.56,64,63,3.04,broken clouds
142,Yellowknife,CA,62.456,-114.3525,-15.45,76,20,4.61,few clouds
143,Thompson,CA,55.7435,-97.8558,-12.84,70,40,4.61,light snow
144,Palu,ID,-0.8917,119.8707,74.19,94,90,2.17,overcast clouds
145,Cabedelo,BR,-6.9811,-34.8339,81.27,73,26,10.89,scattered clouds
146,Aviles,ES,43.5547,-5.9248,46.92,81,20,4.61,few clouds
147,Te Anau,NZ,-45.4167,167.7167,52.32,49,31,3.36,scattered clouds
148,Iwaki,JP,37.05,140.8833,41.02,84,100,1.01,overcast clouds
149,Changji,CN,44.0167,87.3167,7.59,85,100,4.47,mist
150,Kavieng,PG,-2.5744,150.7967,83.01,72,94,5.28,light rain
151,Uruzgan,AF,32.8333,66.0,43.07,46,0,0.56,clear sky
152,Show Low,US,34.2542,-110.0298,55.08,31,0,28.77,clear sky
153,Halifax,CA,44.6453,-63.5724,37.4,72,75,18.41,broken clouds
154,Andijon,UZ,40.7821,72.3442,42.08,63,100,4.94,overcast clouds
155,Zavetnoye,RU,47.1194,43.8903,25.59,41,22,16.2,few clouds
156,Gadsden,US,34.0143,-86.0066,52.02,44,96,4.34,overcast clouds
157,New Norfolk,AU,-42.7826,147.0587,58.71,60,82,1.99,broken clouds
158,Jamestown,US,42.097,-79.2353,31.59,75,100,6.91,overcast clouds
159,La Ronge,CA,55.1001,-105.2842,-7.38,64,40,10.36,scattered clouds
160,Tasiilaq,GL,65.6145,-37.6368,25.09,75,86,6.53,overcast clouds
161,Snyder,US,32.7179,-100.9176,58.08,44,0,11.5,clear sky
162,Ngunguru,NZ,-35.6167,174.5,65.23,62,92,10.04,overcast clouds
163,Olafsvik,IS,64.8945,-23.7142,42.46,76,82,29.51,broken clouds
164,Butaritari,KI,3.0707,172.7902,80.58,80,25,15.52,light rain
165,Bilibino,RU,68.0546,166.4372,12.76,97,100,2.44,light snow
